name,address,category,veryPrice,paymentRatio,link
Kenangan caffe,Madiun,식당/카페,17000,90%,https://pay.verychat.io/shops/mqrzG
다해에어컨,인천시 남동구 구월말로 3번길 30,가전/게임,10,50%,https://pay.verychat.io/shops/yIoHi
Sady's stitches fashion design,"No102 beside emirate clinic nyikembe gurara juction, chanchaga local government Niger state Nigeria",패션/잡화,50%,50%,https://pay.verychat.io/shops/vjIDd
Furniture,Kaduna state Zaria City Lowcos Bakin Masallaci,패션/잡화,0.002 USDT,50%,https://pay.verychat.io/shops/AcQum
One pixel freelance and graphics,"Lautech college, Ogbomoso",기타,0.0007,50%,https://pay.verychat.io/shops/GGEgZ
Sauki Chemist Kurna Asabe layin mayanka,Kurna Asabe sauki Chemist kan mayanka,의료/건강,0.002,50%,https://pay.verychat.io/shops/OxKna
Cosmetics,MARADI AHMADU MODEL PRM,기타,50,50%,https://pay.verychat.io/shops/UISEJ
"Trade, Wholesale Firewood",Katsina state sabuwar unguwa,기타,0.004529,50%,https://pay.verychat.io/shops/lLCTO
Ruma Henna design,"Abba mai gyaran qofar mota, Gidan Baba shitu",미용,$0.005,50%,https://pay.verychat.io/shops/LRIqs
Mama Twins Supermarket,https://maps.app.goo.gl/LUpxUce6hkrKT8DbA,기타,0.0072,30%,https://pay.verychat.io/shops/oXheq
Vijay kirana store,"Muhiuddinpur-hisali, muradnagar Ghaziabad Uttar Pradesh 201206",기타,-,-,https://pay.verychat.io/shops/SsCdx
Airtime and data vendor,Lautech,기타,0.007,70%,https://pay.verychat.io/shops/DxZvh
Maman Teema Collections,FCE STAFF QUARTERS KONTAGORA NIGER STATE NIGERIA,패션/잡화,30,70%,https://pay.verychat.io/shops/UPepk
Jai ambey hotel,Piplia mandi mandsaur madhya pradesh 458664,식당/카페,0.62,10%,https://pay.verychat.io/shops/kJMfF
REALKING FOREX & LUXURY CARS,SHOP NO 001 OPPOSITE POLICE STATION ZC AREA ZURU LGA KEBBI STATE,식당/카페,-,-,https://pay.verychat.io/shops/FAMdR
오리궁뎅이 화정점,광주광역시 서구 월드컵4강로40-1,식당/카페,10원,100%,https://pay.verychat.io/shops/mAtbf
